"tip","count","count_tree","Date","Date1","Date2","Location","type","year_month"
"EPI_ISL_102784|H3N2|HA|Southeast_Asia|HongkongChina|2009-07-22",631,901,2009-07-22,2009.55342465753,2009-07-21,"HongkongChina","Persistent lineages","2009-07"
"EPI_ISL_102982|H3N2|HA|Southeast_Asia|CentralChina|2011-11-09",892,901,2011-11-09,2011.85479452055,2011-11-09,"CentralChina","Persistent lineages","2011-11"
"EPI_ISL_102989|H3N2|HA|Southeast_Asia|SouthChina|2011-11-08",704,901,2011-11-08,2011.85205479452,2011-11-07,"SouthChina","Persistent lineages","2011-11"
"EPI_ISL_103629|H3N2|HA|Southeast_Asia|SouthKorea|2011-11-21",567,901,2011-11-21,2011.88767123288,2011-11-21,"SouthKorea","Persistent lineages","2011-11"
"EPI_ISL_103755|H3N2|HA|Southeast_Asia|HongkongChina|2011-12-19",539,901,2011-12-19,2011.96438356164,2011-12-18,"HongkongChina","Persistent lineages","2011-12"
"EPI_ISL_1041017|H3N2|HA|Southeast_Asia|Cambodia|2020-09-08",901,901,2020-09-08,2020.68579234973,2020-09-07,"Cambodia","Persistent lineages","2020-09"
"EPI_ISL_104938|H3N2|HA|Southeast_Asia|Vietnam|2007-07-27",726,901,2007-07-27,2007.56712328767,2007-07-26,"Vietnam","Persistent lineages","2007-07"
"EPI_ISL_104998|H3N2|HA|Southeast_Asia|Vietnam|2007-02-09",739,901,2007-02-09,2007.10684931507,2007-02-09,"Vietnam","Persistent lineages","2007-02"
"EPI_ISL_104999|H3N2|HA|Southeast_Asia|Vietnam|2007-03-10",741,901,2007-03-10,2007.18630136986,2007-03-09,"Vietnam","Persistent lineages","2007-03"
"EPI_ISL_105160|H3N2|HA|Southeast_Asia|Vietnam|2007-07-12",891,901,2007-07-12,2007.52602739726,2007-07-11,"Vietnam","Persistent lineages","2007-07"
"EPI_ISL_105194|H3N2|HA|Southeast_Asia|Vietnam|2007-10-08",900,901,2007-10-08,2007.76712328767,2007-10-07,"Vietnam","Persistent lineages","2007-10"
"EPI_ISL_105350|H3N2|HA|Southeast_Asia|Vietnam|2008-11-11",601,901,2008-11-11,2008.8606557377,2008-11-10,"Vietnam","Persistent lineages","2008-11"
"EPI_ISL_105352|H3N2|HA|Southeast_Asia|Vietnam|2008-12-03",893,901,2008-12-03,2008.92076502732,2008-12-02,"Vietnam","Persistent lineages","2008-12"
"EPI_ISL_105353|H3N2|HA|Southeast_Asia|Vietnam|2008-12-18",893,901,2008-12-18,2008.96174863388,2008-12-17,"Vietnam","Persistent lineages","2008-12"
"EPI_ISL_10626779|H3N2|HA|Southeast_Asia|Nepal|2021-08-23",885,901,2021-08-23,2021.64109589041,2021-08-22,"Nepal","Persistent lineages","2021-08"
"EPI_ISL_1064135|H3N2|HA|Southeast_Asia|Vietnam|2020-10-09",901,901,2020-10-09,2020.77049180328,2020-10-08,"Vietnam","Persistent lineages","2020-10"
"EPI_ISL_1064137|H3N2|HA|Southeast_Asia|Vietnam|2020",896,901,2020-09-12,2020.70024520548,2020-09-12,"Vietnam","Persistent lineages","2020-09"
"EPI_ISL_1064140|H3N2|HA|Southeast_Asia|Vietnam|2020-10-21",901,901,2020-10-21,2020.80327868852,2020-10-20,"Vietnam","Persistent lineages","2020-10"
"EPI_ISL_1064142|H3N2|HA|Southeast_Asia|Vietnam|2020-10-14",901,901,2020-10-14,2020.78415300546,2020-10-13,"Vietnam","Persistent lineages","2020-10"
"EPI_ISL_10910074|H3N2|HA|Southeast_Asia|Singapore|2021-11-21",855,901,2021-11-21,2021.88767123288,2021-11-21,"Singapore","Persistent lineages","2021-11"
"EPI_ISL_10910075|H3N2|HA|Southeast_Asia|Singapore|2021-11-22",845,901,2021-11-22,2021.8904109589,2021-11-21,"Singapore","Persistent lineages","2021-11"
"EPI_ISL_11303030|H3N2|HA|Southeast_Asia|Myanmar|2021-08-01",886,901,2021-08-01,2021.58082191781,2021-08-01,"Myanmar","Persistent lineages","2021-08"
"EPI_ISL_11303032|H3N2|HA|Southeast_Asia|Myanmar|2021-10-21",886,901,2021-10-21,2021.80273972603,2021-10-21,"Myanmar","Persistent lineages","2021-10"
"EPI_ISL_11303033|H3N2|HA|Southeast_Asia|Myanmar|2021-10-21",886,901,2021-10-21,2021.80273972603,2021-10-21,"Myanmar","Persistent lineages","2021-10"
"EPI_ISL_114054|H3N2|HA|Southeast_Asia|Japan|2012-01-21",510,901,2012-01-21,2012.05464480874,2012-01-20,"Japan","Persistent lineages","2012-01"
"EPI_ISL_114059|H3N2|HA|Southeast_Asia|SouthKorea|2012-01-11",678,901,2012-01-11,2012.02732240437,2012-01-10,"SouthKorea","Persistent lineages","2012-01"
"EPI_ISL_114104|H3N2|HA|Southeast_Asia|SouthKorea|2012-02-09",678,901,2012-02-09,2012.10655737705,2012-02-08,"SouthKorea","Persistent lineages","2012-02"
"EPI_ISL_114110|H3N2|HA|Southeast_Asia|SouthKorea|2012-01-31",678,901,2012-01-31,2012.08196721311,2012-01-30,"SouthKorea","Persistent lineages","2012-01"
"EPI_ISL_11497692|H3N2|HA|Southeast_Asia|Bhutan|2021-12-28",738,901,2021-12-28,2021.98904109589,2021-12-27,"Bhutan","Persistent lineages","2021-12"
"EPI_ISL_11499459|H3N2|HA|Southeast_Asia|Philippines|2021-12-02",893,901,2021-12-02,2021.91780821918,2021-12-02,"Philippines","Persistent lineages","2021-12"
"EPI_ISL_11499460|H3N2|HA|Southeast_Asia|Philippines|2021-11-01",891,901,2021-11-01,2021.83287671233,2021-11-01,"Philippines","Persistent lineages","2021-11"
"EPI_ISL_116630|H3N2|HA|Southeast_Asia|HongkongChina|2009-07-20",631,901,2009-07-20,2009.54794520548,2009-07-20,"HongkongChina","Persistent lineages","2009-07"
"EPI_ISL_116730|H3N2|HA|Southeast_Asia|HongkongChina|2009-07-24",630,901,2009-07-24,2009.55890410959,2009-07-24,"HongkongChina","Persistent lineages","2009-07"
"EPI_ISL_118062|H3N2|HA|Southeast_Asia|Vietnam|2007-12-06",899,901,2007-12-06,2007.92876712329,2007-12-06,"Vietnam","Persistent lineages","2007-12"
"EPI_ISL_118159|H3N2|HA|Southeast_Asia|Vietnam|2007-03-10",800,901,2007-03-10,2007.18630136986,2007-03-09,"Vietnam","Persistent lineages","2007-03"
"EPI_ISL_118268|H3N2|HA|Southeast_Asia|Vietnam|2007-07-12",887,901,2007-07-12,2007.52602739726,2007-07-11,"Vietnam","Persistent lineages","2007-07"
"EPI_ISL_118272|H3N2|HA|Southeast_Asia|Vietnam|2007-09-05",900,901,2007-09-05,2007.67671232877,2007-09-05,"Vietnam","Persistent lineages","2007-09"
"EPI_ISL_118373|H3N2|HA|Southeast_Asia|Vietnam|2008-01-28",899,901,2008-01-28,2008.0737704918,2008-01-27,"Vietnam","Persistent lineages","2008-01"
"EPI_ISL_118582|H3N2|HA|Southeast_Asia|SriLanka|2011-12-01",727,901,2011-12-01,2011.91506849315,2011-11-30,"SriLanka","Persistent lineages","2011-12"
"EPI_ISL_118647|H3N2|HA|Southeast_Asia|Cambodia|2011-11-21",884,901,2011-11-21,2011.88767123288,2011-11-21,"Cambodia","Persistent lineages","2011-11"
"EPI_ISL_118652|H3N2|HA|Southeast_Asia|Cambodia|2011-12-05",856,901,2011-12-05,2011.92602739726,2011-12-04,"Cambodia","Persistent lineages","2011-12"
"EPI_ISL_118653|H3N2|HA|Southeast_Asia|Philippines|2011-10-21",588,901,2011-10-21,2011.80273972603,2011-10-21,"Philippines","Persistent lineages","2011-10"
"EPI_ISL_119891|H3N2|HA|Southeast_Asia|Laos|2011-10-03",899,901,2011-10-03,2011.75342465753,2011-10-02,"Laos","Persistent lineages","2011-10"
"EPI_ISL_119892|H3N2|HA|Southeast_Asia|Laos|2011-10-10",891,901,2011-10-10,2011.77260273973,2011-10-10,"Laos","Persistent lineages","2011-10"
"EPI_ISL_119902|H3N2|HA|Southeast_Asia|Laos|2011-11-16",860,901,2011-11-16,2011.87397260274,2011-11-16,"Laos","Persistent lineages","2011-11"
"EPI_ISL_120407|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2007-05-14",890,901,2007-05-14,2007.36438356164,2007-05-13,"MalaysiaBrunei","Persistent lineages","2007-05"
"EPI_ISL_120409|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2008-01-07",890,901,2008-01-07,2008.01639344262,2008-01-06,"MalaysiaBrunei","Persistent lineages","2008-01"
"EPI_ISL_120410|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2008-03-10",890,901,2008-03-10,2008.18852459016,2008-03-09,"MalaysiaBrunei","Persistent lineages","2008-03"
"EPI_ISL_120414|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2009-06-24",631,901,2009-06-24,2009.47671232877,2009-06-24,"MalaysiaBrunei","Persistent lineages","2009-06"
"EPI_ISL_120628|H3N2|HA|Southeast_Asia|India|2008-03-08",890,901,2008-03-08,2008.18306010929,2008-03-07,"India","Persistent lineages","2008-03"
"EPI_ISL_120630|H3N2|HA|Southeast_Asia|India|2008-03-26",890,901,2008-03-26,2008.23224043716,2008-03-25,"India","Persistent lineages","2008-03"
"EPI_ISL_120855|H3N2|HA|Southeast_Asia|SouthKorea|2012-02-21",897,901,2012-02-21,2012.1393442623,2012-02-20,"SouthKorea","Persistent lineages","2012-02"
"EPI_ISL_121034|H3N2|HA|Southeast_Asia|India|2008-07-14",699,901,2008-07-14,2008.53278688525,2008-07-13,"India","Persistent lineages","2008-07"
"EPI_ISL_121209|H3N2|HA|Southeast_Asia|Japan|2011-12-14",892,901,2011-12-14,2011.95068493151,2011-12-14,"Japan","Persistent lineages","2011-12"
"EPI_ISL_121259|H3N2|HA|Southeast_Asia|Laos|2011-10-31",888,901,2011-10-31,2011.8301369863,2011-10-30,"Laos","Persistent lineages","2011-10"
"EPI_ISL_121261|H3N2|HA|Southeast_Asia|Laos|2011-11-16",891,901,2011-11-16,2011.87397260274,2011-11-16,"Laos","Persistent lineages","2011-11"
"EPI_ISL_121269|H3N2|HA|Southeast_Asia|Laos|2011-11-14",899,901,2011-11-14,2011.86849315069,2011-11-14,"Laos","Persistent lineages","2011-11"
"EPI_ISL_121702|H3N2|HA|Southeast_Asia|MacaoChina|2012-01-26",901,901,2012-01-26,2012.06830601093,2012-01-25,"MacaoChina","Persistent lineages","2012-01"
"EPI_ISL_121809|H3N2|HA|Southeast_Asia|Japan|2012-03-30",857,901,2012-03-30,2012.24316939891,2012-03-29,"Japan","Persistent lineages","2012-03"
"EPI_ISL_121861|H3N2|HA|Southeast_Asia|Japan|2012-01-18",770,901,2012-01-18,2012.04644808743,2012-01-17,"Japan","Persistent lineages","2012-01"
"EPI_ISL_121873|H3N2|HA|Southeast_Asia|Japan|2012-03-09",751,901,2012-03-09,2012.18579234973,2012-03-08,"Japan","Persistent lineages","2012-03"
"EPI_ISL_12206255|H3N2|HA|Southeast_Asia|Philippines|2021-12-03",890,901,2021-12-03,2021.92054794521,2021-12-03,"Philippines","Persistent lineages","2021-12"
"EPI_ISL_122201|H3N2|HA|Southeast_Asia|TaiwanChina|2012-03-06",763,901,2012-03-06,2012.17759562842,2012-03-05,"TaiwanChina","Persistent lineages","2012-03"
"EPI_ISL_122212|H3N2|HA|Southeast_Asia|TaiwanChina|2012-03-01",750,901,2012-03-01,2012.16393442623,2012-02-29,"TaiwanChina","Persistent lineages","2012-03"
"EPI_ISL_1222767|H3N2|HA|Southeast_Asia|NorthChina|2018-11-01",862,901,2018-11-01,2018.83287671233,2018-11-01,"NorthChina","Persistent lineages","2018-11"
"EPI_ISL_122927|H3N2|HA|Southeast_Asia|Singapore|2011-08-16",673,901,2011-08-16,2011.62191780822,2011-08-16,"Singapore","Persistent lineages","2011-08"
"EPI_ISL_122942|H3N2|HA|Southeast_Asia|Singapore|2011-10-19",882,901,2011-10-19,2011.79726027397,2011-10-18,"Singapore","Persistent lineages","2011-10"
"EPI_ISL_122955|H3N2|HA|Southeast_Asia|Singapore|2011-11-23",856,901,2011-11-23,2011.89315068493,2011-11-22,"Singapore","Persistent lineages","2011-11"
"EPI_ISL_122993|H3N2|HA|Southeast_Asia|Singapore|2011-09-19",901,901,2011-09-19,2011.71506849315,2011-09-18,"Singapore","Persistent lineages","2011-09"
"EPI_ISL_123027|H3N2|HA|Southeast_Asia|Singapore|2011-07-29",900,901,2011-07-29,2011.57260273973,2011-07-29,"Singapore","Persistent lineages","2011-07"
"EPI_ISL_123047|H3N2|HA|Southeast_Asia|Singapore|2011-09-29",745,901,2011-09-29,2011.74246575342,2011-09-28,"Singapore","Persistent lineages","2011-09"
"EPI_ISL_1242033|H3N2|HA|Southeast_Asia|India|2020-10-27",901,901,2020-10-27,2020.81967213115,2020-10-26,"India","Persistent lineages","2020-10"
"EPI_ISL_1242039|H3N2|HA|Southeast_Asia|India|2020-11-27",901,901,2020-11-27,2020.9043715847,2020-11-26,"India","Persistent lineages","2020-11"
"EPI_ISL_125911|H3N2|HA|Southeast_Asia|India|2012-01-30",497,901,2012-01-30,2012.07923497268,2012-01-29,"India","Persistent lineages","2012-01"
"EPI_ISL_12723019|H3N2|HA|Southeast_Asia|SriLanka|2008-06-03",582,901,2008-06-03,2008.42076502732,2008-06-02,"SriLanka","Persistent lineages","2008-06"
"EPI_ISL_12746345|H3N2|HA|Southeast_Asia|Cambodia|2008",887,901,2008-04-01,2008.25154520548,2008-04-01,"Cambodia","Persistent lineages","2008-04"
"EPI_ISL_127826|H3N2|HA|Southeast_Asia|HongkongChina|2012-06-26",878,901,2012-06-26,2012.48360655738,2012-06-25,"HongkongChina","Persistent lineages","2012-06"
"EPI_ISL_127827|H3N2|HA|Southeast_Asia|CentralChina|2012-06-01",901,901,2012-06-01,2012.41530054645,2012-05-31,"CentralChina","Persistent lineages","2012-06"
"EPI_ISL_127828|H3N2|HA|Southeast_Asia|SouthChina|2012-05-22",838,901,2012-05-22,2012.38797814208,2012-05-21,"SouthChina","Persistent lineages","2012-05"
"EPI_ISL_127829|H3N2|HA|Southeast_Asia|SouthChina|2012-05-22",901,901,2012-05-22,2012.38797814208,2012-05-21,"SouthChina","Persistent lineages","2012-05"
"EPI_ISL_128055|H3N2|HA|Southeast_Asia|HongkongChina|2012-06-26",901,901,2012-06-26,2012.48360655738,2012-06-25,"HongkongChina","Persistent lineages","2012-06"
"EPI_ISL_128246|H3N2|HA|Southeast_Asia|Singapore|2009-07-08",623,901,2009-07-08,2009.51506849315,2009-07-07,"Singapore","Persistent lineages","2009-07"
"EPI_ISL_128436|H3N2|HA|Southeast_Asia|SouthKorea|2009-03-16",630,901,2009-03-16,2009.20273972603,2009-03-16,"SouthKorea","Persistent lineages","2009-03"
"EPI_ISL_128437|H3N2|HA|Southeast_Asia|SouthKorea|2009-08-28",631,901,2009-08-28,2009.65479452055,2009-08-28,"SouthKorea","Persistent lineages","2009-08"
"EPI_ISL_128628|H3N2|HA|Southeast_Asia|MalaysiaBrunei|2012-02-28",823,901,2012-02-28,2012.15846994536,2012-02-27,"MalaysiaBrunei","Persistent lineages","2012-02"
"EPI_ISL_128677|H3N2|HA|Southeast_Asia|Cambodia|2012-07-04",876,901,2012-07-04,2012.50546448087,2012-07-03,"Cambodia","Persistent lineages","2012-07"
"EPI_ISL_128678|H3N2|HA|Southeast_Asia|Cambodia|2012-07-19",483,901,2012-07-19,2012.54644808743,2012-07-18,"Cambodia","Persistent lineages","2012-07"
"EPI_ISL_128748|H3N2|HA|Southeast_Asia|MacaoChina|2012-03-15",764,901,2012-03-15,2012.20218579235,2012-03-14,"MacaoChina","Persistent lineages","2012-03"
"EPI_ISL_129138|H3N2|HA|Southeast_Asia|Vietnam|2008-07-23",890,901,2008-07-23,2008.55737704918,2008-07-22,"Vietnam","Persistent lineages","2008-07"
"EPI_ISL_129139|H3N2|HA|Southeast_Asia|Vietnam|2009-06-16",526,901,2009-06-16,2009.45479452055,2009-06-16,"Vietnam","Persistent lineages","2009-06"
"EPI_ISL_12933389|H3N2|HA|Southeast_Asia|Myanmar|2015-08-12",895,901,2015-08-12,2015.61095890411,2015-08-12,"Myanmar","Persistent lineages","2015-08"
"EPI_ISL_12934286|H3N2|HA|Southeast_Asia|Myanmar|2015-08-20",890,901,2015-08-20,2015.63287671233,2015-08-20,"Myanmar","Persistent lineages","2015-08"
"EPI_ISL_12940972|H3N2|HA|Southeast_Asia|Myanmar|2015-09-13",895,901,2015-09-13,2015.69863013699,2015-09-13,"Myanmar","Persistent lineages","2015-09"
"EPI_ISL_12942858|H3N2|HA|Southeast_Asia|Myanmar|2016-06-20",776,901,2016-06-20,2016.46721311475,2016-06-19,"Myanmar","Persistent lineages","2016-06"
"EPI_ISL_12945455|H3N2|HA|Southeast_Asia|Myanmar|2016-07-25",838,901,2016-07-25,2016.56284153005,2016-07-24,"Myanmar","Persistent lineages","2016-07"
"EPI_ISL_12947497|H3N2|HA|Southeast_Asia|Myanmar|2015-08-21",901,901,2015-08-21,2015.63561643836,2015-08-21,"Myanmar","Persistent lineages","2015-08"
"EPI_ISL_12950109|H3N2|HA|Southeast_Asia|Myanmar|2017-09-11",900,901,2017-09-11,2017.69315068493,2017-09-10,"Myanmar","Persistent lineages","2017-09"
"EPI_ISL_12950793|H3N2|HA|Southeast_Asia|Myanmar|2017-10-23",895,901,2017-10-23,2017.80821917808,2017-10-22,"Myanmar","Persistent lineages","2017-10"
"EPI_ISL_1296299|H3N2|HA|Southeast_Asia|Vietnam|2019-07-29",892,901,2019-07-29,2019.57260273973,2019-07-29,"Vietnam","Persistent lineages","2019-07"
"EPI_ISL_1296302|H3N2|HA|Southeast_Asia|Vietnam|2019-12-24",901,901,2019-12-24,2019.97808219178,2019-12-23,"Vietnam","Persistent lineages","2019-12"
"EPI_ISL_1296303|H3N2|HA|Southeast_Asia|Vietnam|2019-09-12",901,901,2019-09-12,2019.69589041096,2019-09-12,"Vietnam","Persistent lineages","2019-09"
"EPI_ISL_1296307|H3N2|HA|Southeast_Asia|Vietnam|2019-07-21",901,901,2019-07-21,2019.55068493151,2019-07-21,"Vietnam","Persistent lineages","2019-07"
"EPI_ISL_1296318|H3N2|HA|Southeast_Asia|Thailand|2020-03-10",897,901,2020-03-10,2020.18852459016,2020-03-09,"Thailand","Persistent lineages","2020-03"
"EPI_ISL_1296325|H3N2|HA|Southeast_Asia|Cambodia|2020-08-18",901,901,2020-08-18,2020.62841530055,2020-08-17,"Cambodia","Persistent lineages","2020-08"
"EPI_ISL_1296340|H3N2|HA|Southeast_Asia|Thailand|2020-11-10",901,901,2020-11-10,2020.85792349727,2020-11-09,"Thailand","Persistent lineages","2020-11"
"EPI_ISL_1296343|H3N2|HA|Southeast_Asia|Thailand|2020-11-11",901,901,2020-11-11,2020.8606557377,2020-11-10,"Thailand","Persistent lineages","2020-11"
"EPI_ISL_1296344|H3N2|HA|Southeast_Asia|Thailand|2020-03-09",897,901,2020-03-09,2020.18579234973,2020-03-08,"Thailand","Persistent lineages","2020-03"
"EPI_ISL_129660|H3N2|HA|Southeast_Asia|Bangladesh|2012-08-02",898,901,2012-08-02,2012.58469945355,2012-08-01,"Bangladesh","Persistent lineages","2012-08"
"EPI_ISL_12995217|H3N2|HA|Southeast_Asia|Myanmar|2019-08-05",897,901,2019-08-05,2019.59178082192,2019-08-05,"Myanmar","Persistent lineages","2019-08"
"EPI_ISL_12995428|H3N2|HA|Southeast_Asia|Myanmar|2019-10-04",897,901,2019-10-04,2019.75616438356,2019-10-03,"Myanmar","Persistent lineages","2019-10"
"EPI_ISL_12995460|H3N2|HA|Southeast_Asia|Myanmar|2019-07-26",897,901,2019-07-26,2019.56438356164,2019-07-25,"Myanmar","Persistent lineages","2019-07"
"EPI_ISL_12995850|H3N2|HA|Southeast_Asia|Myanmar|2019-10-18",897,901,2019-10-18,2019.79452054795,2019-10-18,"Myanmar","Persistent lineages","2019-10"
"EPI_ISL_13046484|H3N2|HA|Southeast_Asia|Singapore|2016-03-24",901,901,2016-03-24,2016.22677595628,2016-03-23,"Singapore","Persistent lineages","2016-03"
"EPI_ISL_13175634|H3N2|HA|Southeast_Asia|IndonesiaEastTimor|2022-03-29",891,901,2022-03-29,2022.23835616438,2022-03-28,"IndonesiaEastTimor","Persistent lineages","2022-03"
"EPI_ISL_13175660|H3N2|HA|Southeast_Asia|IndonesiaEastTimor|2022-03-24",891,901,2022-03-24,2022.22465753425,2022-03-24,"IndonesiaEastTimor","Persistent lineages","2022-03"
"EPI_ISL_13175661|H3N2|HA|Southeast_Asia|IndonesiaEastTimor|2022-03-23",891,901,2022-03-23,2022.22191780822,2022-03-23,"IndonesiaEastTimor","Persistent lineages","2022-03"
"EPI_ISL_132233|H3N2|HA|Southeast_Asia|Nepal|2012",495,901,2012-03-25,2012.23284520548,2012-03-25,"Nepal","Persistent lineages","2012-03"
"EPI_ISL_132238|H3N2|HA|Southeast_Asia|Nepal|2012",457,901,2012-04-08,2012.26994520548,2012-04-08,"Nepal","Persistent lineages","2012-04"
"EPI_ISL_132239|H3N2|HA|Southeast_Asia|Nepal|2012",457,901,2012-03-21,2012.22164520548,2012-03-21,"Nepal","Persistent lineages","2012-03"
"EPI_ISL_132240|H3N2|HA|Southeast_Asia|Nepal|2012",511,901,2012-05-07,2012.35004520548,2012-05-07,"Nepal","Persistent lineages","2012-05"
"EPI_ISL_132500|H3N2|HA|Southeast_Asia|Japan|2012-09-28",895,901,2012-09-28,2012.74043715847,2012-09-27,"Japan","Persistent lineages","2012-09"
"EPI_ISL_132583|H3N2|HA|Southeast_Asia|TaiwanChina|2012-07-03",876,901,2012-07-03,2012.50273224044,2012-07-02,"TaiwanChina","Persistent lineages","2012-07"
"EPI_ISL_132667|H3N2|HA|Southeast_Asia|TaiwanChina|2012-07-03",901,901,2012-07-03,2012.50273224044,2012-07-02,"TaiwanChina","Persistent lineages","2012-07"
"EPI_ISL_132676|H3N2|HA|Southeast_Asia|TaiwanChina|2012-07-21",828,901,2012-07-21,2012.55191256831,2012-07-20,"TaiwanChina","Persistent lineages","2012-07"
"EPI_ISL_133062|H3N2|HA|Southeast_Asia|Vietnam|2012-02-26",736,901,2012-02-26,2012.15300546448,2012-02-25,"Vietnam","Persistent lineages","2012-02"
"EPI_ISL_133494|H3N2|HA|Southeast_Asia|NorthChina|2012-10-06",891,901,2012-10-06,2012.76229508197,2012-10-05,"NorthChina","Persistent lineages","2012-10"
"EPI_ISL_133495|H3N2|HA|Southeast_Asia|NorthChina|2012-09-04",897,901,2012-09-04,2012.67486338798,2012-09-03,"NorthChina","Persistent lineages","2012-09"
"EPI_ISL_133572|H3N2|HA|Southeast_Asia|Laos|2012-06-19",483,901,2012-06-19,2012.46448087432,2012-06-18,"Laos","Persistent lineages","2012-06"
"EPI_ISL_133573|H3N2|HA|Southeast_Asia|Laos|2012-07-16",483,901,2012-07-16,2012.53825136612,2012-07-15,"Laos","Persistent lineages","2012-07"
"EPI_ISL_133575|H3N2|HA|Southeast_Asia|Laos|2012-08-13",872,901,2012-08-13,2012.61475409836,2012-08-12,"Laos","Persistent lineages","2012-08"
"EPI_ISL_133576|H3N2|HA|Southeast_Asia|Laos|2012-08-20",483,901,2012-08-20,2012.63387978142,2012-08-19,"Laos","Persistent lineages","2012-08"
"EPI_ISL_133577|H3N2|HA|Southeast_Asia|Laos|2012-08-28",483,901,2012-08-28,2012.65573770492,2012-08-27,"Laos","Persistent lineages","2012-08"
"EPI_ISL_133578|H3N2|HA|Southeast_Asia|Laos|2012-09-03",483,901,2012-09-03,2012.67213114754,2012-09-02,"Laos","Persistent lineages","2012-09"
"EPI_ISL_133582|H3N2|HA|Southeast_Asia|Laos|2012-10-04",814,901,2012-10-04,2012.75683060109,2012-10-03,"Laos","Persistent lineages","2012-10"
